location,city,country,pollutant,value,timestamp,unit,source_name,latitude,longitude,averaged_over_in_hours,
Location where data was measured,City containing location,Country containing measurement in 2 letter ISO code,Name of the Pollutant being measured. Allowed values: PM25| PM10| SO2| NO2| O3| CO| BC,Latest measured value for the pollutant,The datetime at which the pollutant was measured| in ISO 8601 format,The unit the value was measured in coded by UCUM Code,Name of the source of the data,Latitude in decimal degrees. Precision >3 decimal points.,Longitude in decimal degrees. Precision >3 decimal points.,The number of hours the value was averaged over.,
Linda,NYE,US,pm10,6.0,2019-04-01 19:00:00+00:00,µg/m³,AirNow,36.349377,-116.03197,1.0,
Manse,NYE,US,pm10,6.0,2019-04-01 18:00:00+00:00,µg/m³,AirNow,36.212788,-115.994804,1.0,
Church,NYE,US,pm10,3.0,2019-04-01 19:00:00+00:00,µg/m³,AirNow,36.159637,-115.99626,1.0,
Glen Oaks,NYE,US,pm10,5.0,2019-04-01 19:00:00+00:00,µg/m³,AirNow,36.19347,-116.00758,1.0,
SLATER,Ames,US,o3,0.019,2016-11-03 16:00:00+00:00,ppm,AirNow,41.8829,-93.6879,1.0,
Bend - Pump Station,Bend,US,pm25,2.3,2019-04-01 20:00:00+00:00,µg/m³,AirNow,44.063915,-121.31255,1.0,
Leech Lake Nation: C,CASS,US,pm25,1.0,2019-04-01 19:00:00+00:00,µg/m³,AirNow,47.38443,-94.60166,1.0,
Cicero2,COOK,US,pm25,9.3,2019-04-01 18:00:00+00:00,µg/m³,AirNow,41.86433,-87.748825,1.0,
Grand Portage,COOK,US,pm25,3.0,2019-04-01 15:00:00+00:00,µg/m³,AirNow,47.9721,-89.6908,1.0,
CTCLUSI Radar Hill-O,COOS,US,pm25,3.2,2019-03-28 21:00:00+00:00,µg/m³,AirNow,43.381943,-124.263885,1.0,
NEWPORT,DOOR,US,o3,0.04,2019-04-01 19:00:00+00:00,ppm,AirNow,45.2378,-86.9936,1.0,
Lake Ilo,DUNN,US,no2,0.002,2019-04-01 19:00:00+00:00,ppm,AirNow,47.34259,-102.645996,1.0,
Lake Ilo,DUNN,US,so2,0.0,2019-04-01 19:00:00+00:00,ppm,AirNow,47.34259,-102.645996,1.0,
Lake Ilo,DUNN,US,pm10,7.0,2019-04-01 19:00:00+00:00,µg/m³,AirNow,47.34259,-102.645996,1.0,
Lake Ilo,DUNN,US,o3,0.044,2019-04-01 19:00:00+00:00,ppm,AirNow,47.34259,-102.645996,1.0,
Lake Ilo,DUNN,US,pm25,5.0,2019-04-01 19:00:00+00:00,µg/m³,AirNow,47.34259,-102.645996,1.0,
Dunn Center,DUNN,US,pm25,0.6,2018-06-19 20:00:00+00:00,µg/m³,AirNow,47.3203,-102.5264,1.0,
Dunn Center,DUNN,US,no2,0.004,2018-06-19 14:00:00+00:00,ppm,AirNow,47.3203,-102.5264,1.0,
Dunn Center,DUNN,US,o3,0.033,2018-06-19 17:00:00+00:00,ppm,AirNow,47.3203,-102.5264,1.0,
Dunn Center,DUNN,US,pm10,32.0,2018-06-19 17:00:00+00:00,µg/m³,AirNow,47.3203,-102.5264,1.0,
Dunn Center,DUNN,US,so2,0.001,2018-06-19 14:00:00+00:00,ppm,AirNow,47.3203,-102.5264,1.0,
Elko,ELKO,US,pm10,14.0,2019-04-01 19:00:00+00:00,µg/m³,AirNow,40.83833,-115.76601,1.0,
Tonawanda II,ERIE,US,pm25,6.6,2019-01-25 00:00:00+00:00,µg/m³,AirNow,42.9981,-78.8993,1.0,
Buffalo Near-road,ERIE,US,pm25,18.3,2019-02-04 16:00:00+00:00,µg/m³,AirNow,42.92111,-78.76611,1.0,
ERIE,Erie,US,pm25,0.9,2018-11-02 13:00:00+00:00,µg/m³,AirNow,42.1428,-80.0372,1.0,
ERIE,Erie,US,o3,0.028,2018-10-13 20:00:00+00:00,ppm,AirNow,42.1428,-80.0372,1.0,
Hayden,GILA,US,so2,0.001,2019-04-01 19:00:00+00:00,ppm,AirNow,33.006268,-110.78648,1.0,
Hayden,GILA,US,pm10,11.0,2019-04-01 19:00:00+00:00,µg/m³,AirNow,33.006268,-110.78648,1.0,
Miami Town Site,GILA,US,so2,0.0,2019-04-01 19:00:00+00:00,ppm,AirNow,33.397434,-110.87445,1.0,
Miami Jones Ranch,GILA,US,so2,0.0,2019-04-01 19:00:00+00:00,ppm,AirNow,33.3855,-110.86726,1.0,
Tonto National Monum,GILA,US,o3,0.051,2019-04-01 19:00:00+00:00,ppm,AirNow,33.654724,-111.10741,1.0,
Hilo,Hilo,US,pm25,10.0,2019-04-01 19:00:00+00:00,µg/m³,AirNow,19.717562,-155.11053,1.0,
Hilo,Hilo,US,so2,0.001,2019-04-01 19:00:00+00:00,ppm,AirNow,19.717562,-155.11053,1.0,
Kona,Hilo,US,pm25,7.0,2019-04-01 19:00:00+00:00,µg/m³,AirNow,19.5097,-155.9133,1.0,
Kona,Hilo,US,so2,0.001,2019-04-01 19:00:00+00:00,ppm,AirNow,19.5097,-155.9133,1.0,
Pahala,Hilo,US,so2,0.001,2019-04-01 19:00:00+00:00,ppm,AirNow,19.2065,-155.4689,1.0,
